GeneASymbol	GeneBSymbol
BTG2	SESN1
EGR1	FOSB
MYOF	PINK1
DNAJB6	GLUD1
GLUD1	TMEM126B
CLIP1	MYOF
NSMCE4A	STRBP
CCNG2	RANBP9
FDX1	GDE1
AVPI1	CST3
FEZ2	IGFBP6
GNG12	S100A13
CNBP	POT1
CAPRIN1	PRDX3
CNN3	PDGFC
DNAJB6	MED17
FAM114A1	FRMD6
MYB	SIDT1
POT1	RAD17
PSMA2	RNF146
RAD23B	RNF146
B3GNT1	15-Sep
ARHGAP19	NUDT21
ARHGAP19	SNRPD1
ATP6AP2	DCTN4
CAPN7	NFE2L2
EEF1A1	NAP1L1
FAM114A1	RIN2
GABPA	SENP7
ATP6AP2	GDE1
GLUD1	SDHD
GLS2	IL17RB
CETN2	LAPTM4A
JAZF1	LHFP
MMADHC	TMEM126B
MYB	SEMA4D
CFB	NTN4
PIK3C2A	VAMP3
MATR3	RNF146
SCN2B	THPO
LRP12	SGCB
NACAP1	YEATS4
CXCL16	TMC4
TGFB1I1	VAMP3
ANKFY1	LMBRD1
AP3B1	LMAN1
APPL2	ARFGEF1
ARF4	MCL1
ATG5	DNAJB6
ATP6AP2	IL13RA1
ATP6AP2	UGP2
C11orf73	PSMD10
CAPN7	H3F3C
CAPRIN1	GLUD1
CARD10	TSPAN1
B3GNT2	CCNG2
ADRB1	CD52
COMMD8	SOAT1
EIF2S3	SNX2
FOS	S100A10
FUT1	GLS2
GNG12	S100A3
FNTA	GTF2B
HNRNPC	SKIV2L2
GLUD2	LARP7
ARHGEF5	MAP7
DEPDC5	MYB
CGN	MYO6
CYR61	MYOF
MYO1E	MYOF
MYOF	TNFAIP2
MYOF	TRIP6
HSPA8	NDUFS4
OSGEPL1	SKIV2L2
PM20D2	YEATS4
CRY2	POLH
NXF1	PPP1R8
PSEN1	RNF14
PSEN1	SYPL1
PSEN1	PTP4A1
DCTN6	RAB1A
HNRNPC	RAB28
C14orf166	RNF146
MMADHC	RNF146
ANXA4	SH3D19
LARP6	SNX7
DLD	SUCLA2
MMADHC	TAB2
LMAN1	TAF9
CNBP	UBE2N
RNF146	WDR61
TMEM126B	ZNF227
GNG12	SMURF2
FCGR3A	ZBTB16
ADORA2B	EMP1
AGGF1	DLD
ANXA5	NAV3
AP3B1	HSPA8
AP3B1	TMED2
API5	DLD
API5	MATR3
ASF1A	MATR3
ATP6AP2	LAMP2
C11orf58	PPP1R2
CAPN7	SRP9
CAPRIN1	DLD
CAPRIN1	NFE2L2
CAPRIN1	PPP1R2
CLIP4	PLAT
CNBP	SNX2
CNBP	TRIM23
CRTAP	MSRB3
B3GNT1	DAZAP2
DDX3X	RAD23B
DHX15	RAD23B
DLG1	DNAJB6
ELF1	IRAK4
EPS8L2	LAMB3
CASP8	ERAP1
FGFBP1	KRT15
CGN	FOXA1
GIN1	HSPA8
GIN1	TFB2M
GRIA3	HOXB8
IL20RA	STX19
BCAR3	ITGA2
AHNAK	ITGAV
KCND3	OMD
ACP1	LARP7
LARP7	RANBP2
LEPROT	PRSS23
5-Mar	RHOA
5-Mar	SSBP1
CSTB	MYOF
NAA16	RSBN1
LPP	NPTN
GMPR2	NUDT21
OSGEPL1	RAD17
PPP1R2	PSMA1
PSMA1	PSMA2
DLD	RAD17
RNF6	SDHD
HNRNPA1	RPL5
SEC24B	SRP9
S100A6	SH3D19
GLUD2	SKIV2L2
SKIV2L2	TMED2
SMC3	SRP9
SNX7	THBS1
5-Mar	TAF12
GLS2	TMEM125
B4GALNT3	TMPRSS6
PRSS23	TRIOBP
CARD10	CYR61
ARPC5	NBR1
GIN1	PRPF18
ACIN1	DCAF16
ANKFY1	SDHB
ANXA5	BNC2
API5	GIN1
API5	TRIM23
API5	VAMP3
ARF4	RHEB
ARHGAP29	CRIM1
ASPH	SEMA3C
ATG5	MMADHC
ARSJ	BCAR3
BDNF	GNG11
BRIP1	GDAP1
C11orf58	SGPP1
C11orf58	TPRKB
CAP2	LAMB2
C1orf56	CAPN7
C1orf56	CAPRIN1
CAPRIN1	SRP9
CARD10	TNFRSF1A
CCNC	ZFAND1
API5	CD164
ANXA5	CNN3
COMMD8	MMADHC
CREBZF	IQCB1
CREBZF	PUM2
CAV1	CTSB
CTSB	IGFBP6
CYR61	PARVA
CNBP	DDX5
CAV2	DKK3
DLEC1	GLP1R
CTGF	DOCK1
DOCK1	SNX21
ECHDC1	SSBP1
DSTN	FAM114A1
FEZ2	PLIN3
CD44	FLNA
FNTA	HNRNPC
B3GNT1	G3BP2
GABPA	SRP9
GBP3	LIMA1
GLRX3	SSBP1
BMP1	GNG12
GTF2B	NUPL2
DDX46	HNRNPC
GRM4	HOXD12
IL16	LILRA2
ARHGAP19	ILF3
INTS12	UCHL5
ITGA3	SDC4
ITGB3BP	MSH2
ARL1	KDELR3
KDM4B	POGZ
CD9	KLF4
LAPTM4A	PRSS23
LARP7	UGP2
ARPC5	LMBRD1
MAP2K4	SENP2
DLD	7-Mar
7-Mar	SRP9
MLLT10	ZNF273
MPZL2	RNF39
MARS2	MYB
MYB	RMND5A
LRRC1	MYO5C
AXL	MYOF
NUDT21	SLC25A40
CNBP	NUP54
PDGFC	SNX21
DNAJB6	PEX2
MAP4K3	PIK3C2A
PKP3	PRSS16
POT1	RAB23
PPIC	S100A13
C1orf172	PPL
MATR3	PPP2R3C
CXCL16	PRRG2
ADAM10	PSEN1
PSMA1	RPF1
PSMD6	ZNF227
CNIH	RAB5A
DNAJB6	RAB5A
RAD17	SSBP1
ATP6V1A	RHOA
MGAT2	RHOA
RHOA	RPAP3
IARS2	RNF146
RNF146	YAF2
PRKDC	RPL11
RPL11	RPS14
NACAP1	RPL36
RPS6KA1	TMC8
SEC24B	UBXN4
CD164	SEL1L
CLINT1	15-Sep
15-Sep	YAF2
MMADHC	SERINC1
RNF39	SERPINB5
PNO1	SKIV2L2
SLC30A5	TMEM126B
GNG11	SLC39A13
CCNT2	SLTM
PCNA	SMC3
INHBA	SNAI2
CRY2	SNRNP70
LMAN1	SNX2
CDX1	SOX10
SPTLC1	TMED2
STRBP	YEATS4
SRP9	SYNJ1
PIP5K1A	TAF12
LMBRD1	TM9SF2
OR8B8	TMPRSS6
CGN	TNK1
RIN2	TPM1
H2AFV	TRMT5
PCNA	TRMT5
TMEM59	UBE2H
FH	XPO7
MED17	XPO7
RAD17	XPO7
UBXN4	XPO7
CD164	YIPF5
RNF146	ZBTB11
HNRNPC	ZCCHC4
ATP2B3	ZNF407
POLR1B	ZNF589
BCAR3	DHX32
GIN1	ITCH
GTF2A2	PSMA2
GNG12	PTRF
GSTO2	TACSTD2
ARPC5	RAD17
PRPF18	RIOK3
FRK	TACSTD2
CSH2	ZBTB16
LAMB3	YAP1
ADAM10	ATP6V1A
ADRB1	LRTM1
AGGF1	TPRKB
AIMP1	RNF146
ANKFY1	MED17
ANKFY1	MLLT10
AHNAK	ANXA2P1
ANXA2P1	RAB11FIP5
AP3B1	PSMA3
AP3B1	RPAP3
APOL1	CFB
ARHGAP19	MSL2
ATG5	ITFG1
B3GNT2	RANBP9
BCAR3	GPX8
BCAR3	LARP6
C11orf58	DLD
CALY	EMX1
CAPN7	PIP5K1A
CAPRIN1	ZFYVE21
AMIGO2	CARD10
CARD10	DHRS3
CASP8	PSMB8
CCAR1	SF3B1
ANAPC10	CCNC
CCNG2	PIK3CA
CD109	S100A3
CDADC1	FCGR3A
API5	CDC5L
CDC5L	CPNE1
CDH1	CGN
CHMP4C	DSG2
CMAS	GIN1
BACH1	CNBP
CPEB3	PDIK1L
CRB3	SSH3
CRY2	SMARCC2
CXCL13	SIGLEC8
CXCL16	RAB25
DCK	SMC3
DHX32	IL13RA1
CTGF	DKK3
DLAT	SSBP1
DLD	MRPS28
DNAJB6	TBL1XR1
ADAM9	DOCK1
DSCR3	NMD3
EHF	GRHL1
EPS8L2	MAP7
DNAJB6	ERLIN1
CSH1	ESR1
CSH2	ESR1
FAM114A1	LGALS1
FAM114A1	TGFB1I1
FAU	GLTSCR2
FGFBP1	PRRG2
FHL5	SLC13A1
ARPC5	FNTA
FSTL3	OSMR
API5	G3BP2
DDX3X	GDE1
GDE1	MBTPS2
CNIH	GDI2
GDI2	MGAT2
DLAT	GIN1
GLRX3	HSPA8
ARHGEF5	GPR126
GPR183	MNDA
GRAP2	THPO
CGN	GRTP1
GSN	LMNA
GTF2A2	PSMD10
GYPE	TAS2R8
HMGB1	USP1
HNRNPC	YBX1
FUS	HNRNPH3
HNRNPH3	HNRNPM
IARS2	PEX2
IARS2	TAF12
IFNGR1	MMADHC
INTS12	POLR2K
HEBP1	KDELR3
KDM3A	MATR3
KDM4B	SMARCC2
KERA	SLC13A1
GOLT1A	KIAA1522
FOS	KLF5
LAMB2	PTPN21
LAMB2	RAB11FIP5
LMAN1	PIP5K1A
HRSP12	LMBRD1
LSM7	NASP
GGA3	MAP2K7
MAP2K7	POGZ
MAP2K7	TACR1
DNAJB6	MAP3K7
CGN	MAP7
ILF2	5-Mar
MBTPS2	PSMD10
MFNG	PTPN6
MLLT10	SF3B1
MRFAP1L1	TBL1XR1
ATAD5	MYB
CD79B	MYH7
CAV2	MYL12A
AGRN	MYOF
MYOF	PPP2R3A
GDE1	NAA50
NDUFAF4	SKIV2L2
HAT1	NUP54
IFI35	OPTN
PARVA	SMURF2
PDX1	PHKG1
PDX1	PPP1R3A
PEX2	PNO1
CTSS	PHF11
KDM3B	PHF2
PICALM	PSEN1
PINK1	PTRF
PLCG2	TMC8
PLEKHG3	TSPAN1
CPNE1	PPP1CC
